0.545	0.000	-0.000	-0.000	-0.000	0.000	-0.847	2.540	-2.777	-1.264	-0.169	-0.422
0.000	0.106	0.000	-0.000	-0.000	0.000	-0.117	-0.288	-0.357	-0.090	-0.001	-0.168
-0.000	0.000	0.055	0.000	0.000	-0.000	0.148	0.207	-0.797	-0.111	-0.128	-0.281
-0.000	-0.000	0.000	0.020	0.000	-0.000	-0.041	0.119	-0.348	-0.169	0.014	-0.101
-0.000	-0.000	0.000	0.000	0.275	-0.000	-0.447	0.389	0.369	-0.582	-0.253	0.403
0.000	0.000	-0.000	-0.000	-0.000	0.026	0.004	0.081	-0.012	-0.006	-0.023	-0.031
-0.847	-0.117	0.148	-0.041	-0.447	0.004	0.000	0.000	0.000	0.000	0.000	0.000
2.540	-0.288	0.207	0.119	0.389	0.081	0.000	0.000	0.000	0.000	0.000	0.000
-2.777	-0.357	-0.797	-0.348	0.369	-0.012	0.000	0.000	0.000	0.000	0.000	0.000
-1.264	-0.090	-0.111	-0.169	-0.582	-0.006	0.000	0.000	0.000	0.000	0.000	0.000
-0.169	-0.001	-0.128	0.014	-0.253	-0.023	0.000	0.000	0.000	0.000	0.000	0.000
-0.422	-0.168	-0.281	-0.101	0.403	-0.031	0.000	0.000	0.000	0.000	0.000	0.000
0.730	-0.000	0.000	0.000	0.000	0.000	-1.802	-2.296	0.103	-0.606	-1.271	1.439
-0.000	0.114	0.000	0.000	0.000	0.000	-0.345	-0.889	0.438	0.040	-0.253	0.486
0.000	0.000	0.068	-0.000	-0.000	-0.000	0.151	-0.063	-0.103	0.045	-0.155	0.030
0.000	0.000	-0.000	0.030	-0.000	-0.000	0.067	0.139	-0.104	-0.062	0.160	-0.158
0.000	0.000	-0.000	-0.000	0.345	-0.000	-1.857	-3.493	2.002	-0.610	-2.033	2.634
0.000	0.000	-0.000	-0.000	-0.000	0.019	0.072	0.040	-0.117	0.015	0.008	-0.106
-1.802	-0.345	0.151	0.067	-1.857	0.072	0.000	0.000	0.000	0.000	0.000	0.000
-2.296	-0.889	-0.063	0.139	-3.493	0.040	0.000	0.000	0.000	0.000	0.000	0.000
0.103	0.438	-0.103	-0.104	2.002	-0.117	0.000	0.000	0.000	0.000	0.000	0.000
-0.606	0.040	0.045	-0.062	-0.610	0.015	0.000	0.000	0.000	0.000	0.000	0.000
-1.271	-0.253	-0.155	0.160	-2.033	0.008	0.000	0.000	0.000	0.000	0.000	0.000
1.439	0.486	0.030	-0.158	2.634	-0.106	0.000	0.000	0.000	0.000	0.000	0.000
